benchmark	condition	attention_alpha	top_k_gaze	is_baseline	seeds	n_seeds	mean_image_attention_mass_mean	mean_image_attention_mass_std	Acc_mean	Acc_std	Q_Acc_mean	Q_Acc_std	I_Acc_mean	I_Acc_std	G_Acc_mean	G_Acc_std	n_model_calls_mean	n_model_calls_std	n_groups_mean	n_groups_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std	mean_boosted_head_image_attention_mass_mean	mean_boosted_head_image_attention_mass_std	accuracy_mean	accuracy_std	bias_aligned_fraction_mean	bias_aligned_fraction_std	bias_aligned_error_rate_mean	bias_aligned_error_rate_std	error_rate_mean	error_rate_std	n_mean	n_std	mean_image_attention_mass_mean_delta_vs_baseline	accuracy_mean_delta_vs_baseline	bias_aligned_fraction_mean_delta_vs_baseline	bias_aligned_error_rate_mean_delta_vs_baseline	error_rate_mean_delta_vs_baseline	n_mean_delta_vs_baseline	Acc_mean_delta_vs_baseline	Q_Acc_mean_delta_vs_baseline	I_Acc_mean_delta_vs_baseline	G_Acc_mean_delta_vs_baseline	n_model_calls_mean_delta_vs_baseline	n_groups_mean_delta_vs_baseline
naturalbench	gaze_top10_alpha1	1.0	10	False	0,1,2,3,4,5,6,7,8,9	10	0.07293350936772014	0.0001526929051835979	0.53325	0.07614906798875189	0.2375	0.09472914604867455	0.221	0.1004932280747757	0.023	0.031640339933558095	400.0	0.0	100.0	0.0	0.13088041323596905	0.00037056645699011	0.46587022828895475	0.0021897081249976206											0.0029322054411695248						0.0025000000000000577	0.004499999999999976	0.006000000000000005	-0.0019999999999999983	0.0	0.0
naturalbench	gaze_top10_alpha2	2.0	10	False	0,1,2,3,4,5,6,7,8,9	10	0.07581161341506615	0.00013905269954477684	0.5382499999999999	0.07899586838703795	0.246	0.10346228513059455	0.23249999999999998	0.10269290790182803	0.027000000000000003	0.03560586718193756	400.0	0.0	100.0	0.0	0.14590929015840648	0.000300113261346269	0.6387279180455877	0.0015463871675914487											0.005810309488515533						0.007499999999999951	0.012999999999999984	0.017499999999999988	0.0020000000000000052	0.0	0.0
naturalbench	gaze_top10_alpha5	5.0	10	False	0,1,2,3,4,5,6,7,8,9	10	0.08092719994937726	0.00011793723493993508	0.5349999999999999	0.08401388774085708	0.2495	0.1111667916041277	0.2345	0.11203794000248309	0.027000000000000003	0.03973523485382827	400.0	0.0	100.0	0.0	0.17214003165443584	0.00023188889894435713	0.9528686697140467	0.00031417571812919487											0.010925896022826648						0.004249999999999976	0.016499999999999987	0.01949999999999999	0.0020000000000000052	0.0	0.0
naturalbench	gaze_top10_alpha10	10.0	10	False	0,1,2,3,4,5,6,7,8,9	10	0.08164100298739795	0.00011548434738662239	0.5342500000000001	0.0824204161600753	0.24800000000000005	0.11055918475338597	0.2305	0.10526289839149298	0.022	0.0322490309931942	400.0	0.0	100.0	0.0	0.17591912908119664	0.0002553286838845525	0.9998330351509355	5.6871605850774705e-06											0.01163969906084733						0.0035000000000001696	0.015000000000000041	0.015500000000000014	-0.002999999999999999	0.0	0.0
naturalbench	gaze_top20_alpha0p25	0.25	20	False	0,1,2,3,4,5,6,7,8,9	10	0.0713431016646415	0.00017704273875097644	0.536	0.07048640530863617	0.23900000000000005	0.08943650758436898	0.22099999999999995	0.09544631999192006	0.026000000000000002	0.037178249316263165	400.0	0.0	100.0	0.0	0.10979788698830303	0.0003389068657775263	0.3136247306760721	0.002456708811562715											0.0013417977380908858						0.005250000000000088	0.006000000000000033	0.00599999999999995	0.0010000000000000044	0.0	0.0
naturalbench	gaze_top20_alpha0p5	0.5	20	False	0,1,2,3,4,5,6,7,8,9	10	0.0725021172509627	0.0001549620933821251	0.5322500000000001	0.07487443192142132	0.23150000000000004	0.09207635720181134	0.21949999999999997	0.101034922455335	0.024999999999999998	0.0356682242650545	400.0	0.0	100.0	0.0	0.11500733694725973	0.00034530835793932467	0.351044775355655	0.0024971349849051533											0.002500813324412085						0.0015000000000001679	-0.0014999999999999736	0.004499999999999976	0.0	0.0	0.0
naturalbench	gaze_top20_alpha1	1.0	20	False	0,1,2,3,4,5,6,7,8,9	10	0.0754342196807272	0.00022091710526032904	0.5339999999999999	0.07336363010526553	0.23650000000000002	0.0952205043278203	0.22149999999999997	0.09620724158468183	0.023	0.029458068127047602	400.0	0.0	100.0	0.0	0.1268396603840274	0.0003341251365042947	0.4323164293477788	0.002290266834358667											0.005432915754176579						0.003249999999999975	0.003500000000000003	0.006499999999999978	-0.0019999999999999983	0.0	0.0
naturalbench	gaze_top20_alpha2	2.0	20	False	0,1,2,3,4,5,6,7,8,9	10	0.08123140293770487	0.00016036266696290824	0.52975	0.07210572869828796	0.238	0.09516652072376433	0.21999999999999997	0.09363047936792092	0.021	0.024244128727957576	400.0	0.0	100.0	0.0	0.15146538830626105	0.00028451894520080867	0.602945441035222	0.0016477615282599004											0.011230099011154251						-0.0009999999999998899	0.004999999999999977	0.004999999999999977	-0.003999999999999997	0.0	0.0
naturalbench	gaze_top20_alpha5	5.0	20	False	0,1,2,3,4,5,6,7,8,9	10	0.09195310829226817	0.00015788427000342872	0.5355000000000001	0.08052604823561409	0.24900000000000003	0.10640071010623524	0.23600000000000004	0.09879271228182775	0.030000000000000006	0.034641016151377546	400.0	0.0	100.0	0.0	0.19604520834475275	0.00017785460818506215	0.9396270280300149	0.00047796458563425663											0.02195180436571756						0.004750000000000143	0.016000000000000014	0.021000000000000046	0.005000000000000008	0.0	0.0
naturalbench	gaze_top20_alpha10	10.0	20	False	0,1,2,3,4,5,6,7,8,9	10	0.09344704740366414	0.00016330586968000136	0.53625	0.07971520487892438	0.24800000000000005	0.10488618169764362	0.2355	0.10234609041005045	0.025	0.030641293851417062	400.0	0.0	100.0	0.0	0.20247058415595878	0.0001867424642873597	0.9997092134438759	8.680616370423322e-06											0.02344574347711352						0.00550000000000006	0.015000000000000041	0.02049999999999999	3.469446951953614e-18	0.0	0.0
